nr,name
394,KLUWER ACADEMIC PUBLISHERS
395,KLUWER ACADEMIC/PLENUM PUBL
396,KOELTZ BOTANICAL BOOKS
397,KOGAN PAGE LTD
398,KONINKLIJK INST TAAL- LAND- ENVOLKENKUNDE (KITLV PRESS)
399,LANDES BIOSCIENCE
400,LANDLINKS PRESS
401,LARS MULLER PUBL
402,LATVIAN ACAD SCIENCES-LAS
403,LAWRENCE ERLBAUM ASSOC PUBL
404,"LEARNING SOLUTIONS, HIGHER EDUCATION SERVICE DELIVERY"
405,"LEFT COAST PRESS, INC"
406,LEGENDA-EUROPEAN HUMANITIES RESEARCH CENTRE
407,LEGENDA-MODERN HUMANITIES RES ASSN
408,LEIDEN UNIV PRESS
409,LIBRARY STRAHOV ROYAL CANONIA PREMONSTRATESIANS STRAHOV
410,LINCOLN INST LAND POLICY
411,LIPPINCOTT WILLIAMS & WILKINS
412,LIT VERLAG
413,LITHUANIAN UNIV EDUCATIONAL SCIENCES
414,LOUISIANA STATE UNIV PRESS
415,LOZZI ROMA S A S
416,LUND UNIV DEPT LINGUISTICS
417,LYNX HOUSE PRESS
418,M E SHARPE INC
419,MACN-MUSEO ARGENTINO CIENCIAS NATURALES
420,MAGNOLIA PRESS
421,"MANAAKI WHENUA PRESS, LANDCARE RESEARCH"
422,MANCHESTER UNIV PRESS
423,MANEY PUBLISHING
424,MANN GEBR VERLAG GMBH & CO
425,MANOHAR PUBLICATIONS
426,MANSON PUBLISHING LTD
427,MARTIN STRIZ PUBLISHING
428,MARTINUS NIJHOFF
429,MARY ANN LIEBERT INC
430,MASARYK UNIVERSITY-UNIVERSITY PRESS
431,MASARYKOVA UNIV
432,MATERIALS RESEARCH FORUM LLC
433,"MATFYZPRESS PUBL HOUSE, FAC MATH & PHYSICS"
434,MATHEMATICAL ASSOC AMERICA SERVICE CENTER
435,MAX RUBNER-INSTITUT
436,MCGILL-QUEENS UNIV PR
437,MEDIEVAL INST PUBLICATIONS
438,METHUEN DRAMA
439,"METROPOLITNI UNIV PRAHA, OPS"
440,MICHIGAN STATE UNIV PRESS
441,MINERALOGICAL SOC AMER & GEOCHEMICAL SOC
442,MINERALOGICAL SOCIETY GREAT BRITAIN & IRELAND
443,MIT PRESS
444,MOHR SIEBECK
445,MONASH UNIV PUBLISHING
446,MONDUZZI EDITORE S P A
447,"MONGOL GAZAR, SCIENTIFIC DIV"
448,MORGAN & CLAYPOOL PUBLISHERS
449,MORGAN KAUFMANN PUB INC
450,MOSCOW UNIV PRESS
451,MOUNTAIN PRESS PUBL CO
452,MULTILINGUAL MATTERS LTD
453,MUSEE NATL HISTOIRE NATURELLE
454,MUSEU NACIONAL-UNIV FEDERAL DO RIO DE JANEIRO
455,MUTYA PUBLISHING HOUSE INC
456,MUZEUM BESKYD
457,NABU WALDECK-FRANKENBERG
458,NAFTA PRESS
459,NAKLADATELSTVI UTB ZLINE
460,NARODNI PAMATKOVY USTAV-NATL HERITAGE INST
461,NARR FRANCKE ATTEMPTO VERLAG GMBH & CO KG
462,NATL ACADEMIES PRESS
